Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
1,Reliance Industries,"2,32,05,04,50,551",34.3,"12,62,54,00,000",0.3139,"1,08,62,62,43,510",236334
2,Tata Consultancy Services,"1,59,22,58,89,716",44.01,"7,56,86,20,000",2.3827,"29,04,67,52,308",614795
3,HDFC Bank,"1,46,73,49,40,160",57.89,"9,24,20,30,000",0,"20,39,19,46,583",173222
4,Bharti Airtel,"98,20,16,08,202",16.46,"1,52,69,60,000",0.293,"18,08,56,55,426",21575
5,ICICI Bank,"94,27,10,62,016",26.74,"5,68,69,80,000",0.732,"18,63,05,05,378",157799
6,State Bank of India,"88,83,95,27,321",9.95,"11,00,52,00,000",1.6641,"40,35,84,77,413",235858
7,Life Insurance Corporation of India (LIC),"76,78,86,51,895",12.14,"4,91,63,20,000",0.701,"99,33,10,64,528",104036
8,Infosys,"70,40,02,53,952",16.75,"4,04,30,00,000",1.2804,"18,55,30,00,000",328764
9,Hindustan Unilever,"65,60,34,59,300",27.92,"1,71,95,40,000",1.6974,"7,35,18,14,275",18970
10,ITC,"63,82,66,56,309",5.11,"3,27,84,70,000",1.4607,"8,47,81,75,739",23725
11,Larsen &amp; Toubro,"60,47,31,74,161",43.99,"2,89,99,80,000",0.1621,"26,64,73,22,803",49921
12,Bajaj Finance,"49,62,21,56,861",80.29,"2,32,79,40,000",0.4459,"4,13,80,16,045",35425
13,Maruti Suzuki India,"46,73,47,26,294",148.65,"2,11,27,70,000",0.7151,"16,26,52,35,243",16259
14,Adani Enterprises,"46,62,15,78,390",40.9,"1,14,27,50,000",0.0364,"11,62,95,67,894",6647
15,Axis Bank,"43,45,59,79,463",13.93,"4,24,06,20,000",0.0859,"9,21,22,85,934",91898
16,HCL Technologies,"42,98,56,66,452",15.87,"2,52,73,70,000",3.9167,"13,25,16,14,239",219325
17,Sun Pharmaceutical,"41,98,93,55,846",17.5,"1,33,65,50,000",0.8595,"5,75,88,17,500",38000
18,NTPC Limited,"41,76,71,29,766",4.3,"4,57,98,20,000",2.0937,"21,16,32,22,721",15786
19,Tata Motors,"40,55,93,28,367",11.07,"3,36,62,20,000",0.2156,"52,43,78,96,609",81811
20,Kotak Mahindra Bank,"40,04,69,63,580",20.15,"2,87,68,00,000",0.0898,"8,64,21,65,990",103000
21,Hindustan Aeronautics,"39,87,75,55,988",59.63,"1,23,35,00,000",0.6004,"3,65,54,33,534",24375
22,Oil &amp; Natural Gas,"39,86,81,56,327",3.17,"10,50,64,00,000",3.8942,"77,54,17,79,814",27165
23,Adani Ports & SEZ,"37,22,33,44,484",17.23,"1,55,29,30,000",0.3584,"3,22,01,58,002",2736
24,Coal India,"36,29,00,31,404",5.89,"5,98,05,30,000",5.0818,"15,71,53,18,568",248550
25,Adani Green Energy,"36,23,90,85,934",22.88,"22,07,34,000",0,"1,16,45,27,039",1436
26,Mahindra &amp; Mahindra,"35,99,36,73,396",30.05,"2,83,00,70,000",0.638,"16,67,24,46,392",260000
27,Adani Power,"34,94,66,56,162",9.06,"2,92,22,90,000",0,"6,06,89,77,403",3295
28,Hindustan Zinc,"34,87,21,59,687",8.24,"1,35,79,60,000",3.3911,"3,38,63,07,368",3492
29,Powergrid Corporation of India,"34,56,43,59,298",3.72,"3,35,86,50,000",3.9257,"5,52,72,20,815",8536
30,Titan Company,"34,47,54,09,784",38.86,"63,18,19,000",0.3027,"5,63,58,93,746",7857
31,UltraTech Cement,"34,25,73,60,284",118.87,"1,25,23,80,000",0.3805,"8,54,96,26,708",21942
32,DMart,"33,56,17,19,399",51.58,"41,74,59,000",0,"6,12,30,10,351",11312
33,Asian Paints,"33,11,89,29,700",34.54,"88,64,83,000",0.9191,"4,26,70,50,736",8056
34,Bajaj Auto,"30,40,55,67,273",108.91,"1,21,01,40,000",1.5547,"5,27,78,53,190",6838
35,Siemens India,"29,74,79,65,001",83.53,"32,90,55,000",0.1435,"2,43,21,48,079",8317
36,Bajaj Finserv,"29,21,95,94,707",18.33,"4,79,47,30,000",0.0523,"12,74,35,17,308",73340
37,Indian Railway Finance,"27,85,56,53,976",2.13,"77,12,58,000",0.8646,"3,21,30,84,577",37
38,Wipro,"27,53,43,72,864",5.15,"1,99,91,70,000",0.2344,"11,12,50,92,660",250000
39,Indian Oil,"27,49,24,48,700",1.95,"6,22,54,20,000",4.9565,"93,84,58,69,974",31254
40,Nestlé India,"27,21,92,42,581",28.23,"50,18,74,000",0.8756,"2,26,72,41,862",8117
41,Jio Financial Services,"26,23,11,18,574",4.13,"53,39,800",0,"25,80,983",0
42,Bharat Electronics,"25,93,45,37,439",3.55,"76,60,79,000",0.6933,"2,79,09,40,215",8853
43,JSW Steel,"25,72,03,14,112",10.56,"1,89,04,80,000",0.3831,"20,97,88,57,823",12856
44,Tata Steel,"25,02,23,71,237",2,"95,32,42,000",2.1785,"28,19,09,07,720",75263
45,DLF,"24,20,71,51,018",9.78,"25,89,78,000",0.4928,"77,45,28,142",2417
46,Varun Beverages,"22,35,85,87,227",17.1,"33,24,78,000",0.1772,"1,89,38,88,661",11500
47,ABB India,"21,13,09,73,003",99.72,"20,21,25,000",0.3581,"1,25,44,21,185",3139
48,Vedanta,"20,05,18,78,759",5.39,"3,59,56,40,000",4.9853,"17,09,58,01,053",8545
49,Power Finance Corp,"19,51,75,86,145",5.9,"4,04,84,50,000",3.0214,"4,04,92,40,721",501
50,Trent Limited,"19,42,95,80,997",54.66,"23,10,42,000",0.0706,"1,49,14,08,054",16586
51,InterGlobe Aviation,"19,38,36,76,335",50.22,"1,47,45,70,000",0,"8,30,72,20,232",26164
52,Grasim Industries,"18,83,84,72,446",27.77,"1,65,17,80,000",0.4228,"15,78,97,86,210",23591
53,Ambuja Cements,"18,72,25,44,869",7.6,"74,48,28,000",0.3993,"3,99,89,74,462",4361
54,Zomato,"18,65,80,16,875",2.15,"4,35,90,600",0,"1,45,95,92,484",4204
55,Hindalco Industries,"18,48,62,97,865",8.26,"2,15,44,60,000",0.4321,"26,04,01,84,878",35869
56,Pidilite,"18,10,60,28,009",35.6,"28,37,25,000",0.3726,"1,46,72,42,464",7310
57,Punjab National Bank,"17,08,77,40,864",1.55,"1,60,48,60,000",0.5149,"6,49,35,87,697",104120
58,Rural Electrification Corp,"16,97,55,32,611",6.45,"2,16,44,00,000",2.9032,"2,07,81,66,543",440
59,Lodha Group,"16,91,93,05,922",16.52,"29,30,35,000",0.0747,"1,42,47,74,903",4200
60,Tata Power,"16,73,03,80,913",5.24,"69,11,99,000",0.4634,"7,40,97,09,835",23025
61,LTIMindtree,"16,69,39,85,905",56.37,"75,61,61,000",1.2783,"4,28,25,85,441",82738
62,SBI Life Insurance,"16,64,57,74,539",16.62,"23,39,39,000",0.1959,"15,90,67,44,779",20787
63,Bank of Baroda,"16,42,26,22,950",3.18,"3,11,04,30,000",2.0943,"8,66,63,75,638",78122
64,Bharat Petroleum,"16,33,80,04,005",7.53,"4,37,42,70,000",4.046,"54,03,10,49,263",8594
65,GAIL,"16,10,36,85,015",2.45,"1,40,08,20,000",2.7354,"16,07,25,28,970",4754
66,Indian Overseas Bank,"15,61,32,04,059",0.83,"40,36,35,000",0,"1,86,80,00,919",22052
67,Godrej,"15,57,68,05,908",15.23,"6,08,47,800",1.179,"1,68,50,11,292",13000
68,Eicher Motors,"15,54,89,71,473",56.75,"63,32,62,000",0.7822,"1,95,73,31,084",4739
69,Adani Energy Solutions,"15,17,05,54,208",13.46,"54,78,25,000",0,"2,00,15,50,981",0
70,Britannia Industries,"14,95,71,18,115",62.1,"37,09,67,000",0,"1,99,50,62,256",4467
71,Union Bank of India,"14,66,55,07,078",1.92,"2,59,33,20,000",2.0078,"6,60,99,56,602",75594
72,Tech Mahindra,"14,39,29,59,344",14.73,"43,63,57,000",3.5536,"6,27,02,29,082",116331
73,Havells India,"14,32,92,28,011",22.87,"21,12,58,000",0.1609,"2,24,16,66,846",6533
74,HDFC Life,"14,18,13,36,559",6.59,"18,25,92,000",0.346,"12,00,13,72,707",32448
75,Cipla,"14,00,87,01,467",17.35,"69,83,97,000",0.5861,"3,06,84,88,131",25927
76,Adani Total Gas,"13,71,36,75,943",12.46,"10,80,45,000",0.0256,"53,94,72,130",550
77,Divis Laboratories,"13,70,77,03,340",51.64,"23,19,85,000",0.6863,"89,45,96,403",16543
78,IndusInd Bank,"13,64,32,14,628",17.53,"1,44,42,30,000",0,"3,61,81,75,740",33582
79,JSW Energy,"12,92,01,42,353",7.35,"45,60,76,000",0,"1,35,13,76,957",2310
80,NHPC Limited,"12,91,52,57,106",1.29,"53,13,40,000",1.8083,"1,16,73,11,182",5092
81,Canara Bank,"12,83,14,66,250",1.41,"2,41,16,10,000",10.4351,"8,08,31,05,977",84978
82,Cholamandalam Investment and Finance,"12,49,70,27,989",14.88,"55,60,41,000",0.163,"1,22,57,85,526",9125
83,TVS Motor,"12,41,18,36,297",26.13,"30,70,96,000",0.3643,"3,93,96,69,437",5459
84,Vodafone Idea,"12,40,96,77,297",0.18,"-56,05,40,000",0,"5,13,36,86,176",9370
85,Jindal Steel &amp; Power,"12,35,56,72,460",12.33,"83,00,54,000",0.1936,"8,77,08,64,051",6200
86,Samvardhana Motherson,"12,28,71,60,373",1.81,"59,00,40,000",0.4269,"11,28,82,15,178",47456
